 ,Label,Area,Mean,StdDev,Min,Max
826,mask,275,255,0,255,255
827,mask,332,255,0,255,255
828,mask,364,255,0,255,255
829,mask,288,255,0,255,255
830,mask,261,255,0,255,255
831,mask,281,255,0,255,255
832,mask,294,255,0,255,255
833,mask,275,255,0,255,255
834,mask,164,255,0,255,255
835,mask,51,255,0,255,255
836,mask,305,255,0,255,255
837,mask,302,255,0,255,255
838,mask,331,255,0,255,255
839,mask,302,255,0,255,255
840,mask,255,255,0,255,255
841,mask,333,255,0,255,255
842,mask,161,255,0,255,255
843,mask,325,255,0,255,255
844,mask,308,255,0,255,255
845,mask,306,255,0,255,255
846,mask,401,255,0,255,255
847,mask,328,255,0,255,255
848,mask,368,255,0,255,255
849,mask,262,255,0,255,255
850,mask,320,255,0,255,255
851,mask,315,255,0,255,255
852,mask,271,255,0,255,255
853,mask,301,255,0,255,255
854,mask,327,255,0,255,255
855,mask,332,255,0,255,255
856,mask,319,255,0,255,255
857,mask,279,255,0,255,255
858,mask,167,255,0,255,255
859,mask,361,255,0,255,255
860,mask,386,255,0,255,255
861,mask,279,255,0,255,255
862,mask,308,255,0,255,255
863,mask,223,255,0,255,255
864,mask,27,255,0,255,255
865,mask,433,255,0,255,255
866,mask,345,255,0,255,255
867,mask,190,255,0,255,255
868,mask,268,255,0,255,255
869,mask,354,255,0,255,255
870,mask,279,255,0,255,255
871,mask,182,255,0,255,255
872,mask,427,255,0,255,255
873,mask,305,255,0,255,255
874,mask,230,255,0,255,255
875,mask,272,255,0,255,255
876,mask,285,255,0,255,255
877,mask,289,255,0,255,255
878,mask,294,255,0,255,255
879,mask,279,255,0,255,255
880,mask,303,255,0,255,255
881,mask,266,255,0,255,255
882,mask,222,255,0,255,255
883,mask,280,255,0,255,255
884,mask,399,255,0,255,255
885,mask,310,255,0,255,255
886,mask,300,255,0,255,255
887,mask,283,255,0,255,255
888,mask,266,255,0,255,255
889,mask,301,255,0,255,255
890,mask,297,255,0,255,255
891,mask,346,255,0,255,255
892,mask,303,255,0,255,255
893,mask,407,255,0,255,255
894,mask,292,255,0,255,255
895,mask,293,255,0,255,255
896,mask,296,255,0,255,255
897,mask,424,255,0,255,255
898,mask,302,255,0,255,255
899,mask,393,255,0,255,255
900,mask,271,255,0,255,255
901,mask,314,255,0,255,255
902,mask,450,255,0,255,255
903,mask,407,255,0,255,255
904,mask,288,255,0,255,255
905,mask,456,255,0,255,255
906,mask,281,255,0,255,255
907,mask,257,255,0,255,255
908,mask,255,255,0,255,255
909,mask,350,255,0,255,255
910,mask,336,255,0,255,255
911,mask,310,255,0,255,255
912,mask,246,255,0,255,255
913,mask,327,255,0,255,255
914,mask,215,255,0,255,255
915,mask,471,255,0,255,255
916,mask,295,255,0,255,255
917,mask,379,255,0,255,255
918,mask,328,255,0,255,255
919,mask,220,255,0,255,255
920,mask,255,255,0,255,255
921,mask,306,255,0,255,255
922,mask,368,255,0,255,255
923,mask,425,255,0,255,255
924,mask,482,255,0,255,255
925,mask,135,255,0,255,255
